,nom,version,price,model,localisation,carburant
83,HYUNDAI  AccentMaestro,Maestro,Appeler pour le prix,2019,Casablanca,Diesel
84,FORD  KugaSt line,St line,Appeler pour le prix,2019,Casablanca,Diesel
85,NISSAN  Qashqai,,Appeler pour le prix,2020,Casablanca,Diesel
86,VOLKSWAGEN  Tiguan,,Appeler pour le prix,2019,Casablanca,Diesel
87,FORD  KugaSt line,St line,Appeler pour le prix,2019,Casablanca,Diesel
88,VOLKSWAGEN  PassatComfortlien,Comfortlien,Appeler pour le prix,2019,Casablanca,Diesel
89,DS  Ds7Revoli,Revoli,Appeler pour le prix,2019,Casablanca,Diesel
90,MERCEDES  Classe e,,Appeler pour le prix,2018,Casablanca,Diesel
91,VOLKSWAGEN  TiguanExecutive,Executive,Appeler pour le prix,2018,Casablanca,Diesel
92,HYUNDAI  TucsonUltimate,Ultimate,Appeler pour le prix,2018,Casablanca,Diesel
93,AUDI  Q7,,Appeler pour le prix,2018,Casablanca,Diesel
94,RENAULT  Megane sedan,,160 000 Dhs,2020,Casablanca,Diesel
95,RENAULT  Clio,,120 000 Dhs,2020,Casablanca,Diesel
96,MITSUBISHI  Pajero sport,,240 000 Dhs,2018,Casablanca,Diesel
97,SEAT  Altea xl,,138 000 Dhs,2016,Casablanca,Diesel
98,ALFA-ROMEO  Giulietta,,Appeler pour le prix,2019,Casablanca,Diesel
99,PORSCHE  Cayenne,,Appeler pour le prix,2016,Casablanca,Diesel
100,PORSCHE  Macan,,Appeler pour le prix,2024,Casablanca,Essence
101,AUDI  Q3 sportbackS-line,S-line,Appeler pour le prix,2024,Casablanca,Diesel
102,MERCEDES  Classe c,,Appeler pour le prix,2024,Casablanca,Hybride
103,MERCEDES  Glc coupeAmg line +,Amg line +,Appeler pour le prix,2024,Casablanca,Hybride
104,AUDI  Q3 sportbackS-line,S-line,Appeler pour le prix,2023,Casablanca,Diesel
105,MERCEDES  Classe c,,Appeler pour le prix,2022,Rabat,Diesel
106,MERCEDES  Gle coupe,,Appeler pour le prix,2024,Rabat,Hybride
107,MERCEDES  Cla,,Appeler pour le prix,2023,Rabat,Diesel
108,VOLKSWAGEN  Tiguan,,Appeler pour le prix,2021,Rabat,Diesel
109,MERCEDES  Gle coupe,,Appeler pour le prix,2022,Rabat,Hybride
110,VOLKSWAGEN  T-roc,,Appeler pour le prix,2024,Rabat,Essence
111,MERCEDES  Cla,,Appeler pour le prix,2020,Rabat,Diesel
112,MERCEDES  Classe c,,Appeler pour le prix,2023,Rabat,Diesel
113,AUDI  Q5,,Appeler pour le prix,2018,Rabat,Diesel
