Location,Type,Pi�ces,Salles de bains,Surface,Prix
Bouskoura, Casablanca,Villa,4,2,366,6000000
Palmeraie, Marrakech,Appartement,2,2,85,1350000
Bouznika Bay, Bouznika,Appartement,3,1,86,2000000
Agdal, Marrakech,Villa,5,7,500,4700000
Benslimane, Benslimane,Villa,3,3,220,3200000
Mers Sultan, Casablanca,Villa,3,3,315,6800000
indéfini, Tanger,Villa,5,6,350,3500000
Ferme Bretone, Casablanca,Appartement,3,2,152,3000000
Hassan, Rabat,Riad,2,190,190,2300000
Palmeraie, Marrakech,Appartement,2,2,107,1400000
Chantilly, Casablanca,Villa,4,3,957,13500000
Beauséjour, Casablanca,Appartement,3,2,108,1350000
Marina, Agadir,Appartement,1,2,78,2000000
Centre Ville, Agadir,Appartement,3,1,89,23000
Guéliz, Marrakech,Appartement,2,2,84,1000000
Mhamid, Marrakech,Appartement,3,1,84,600000
Agdal, Marrakech,Villa,5,7,500,3600000
Tamaris, Casablanca,Villa,3,2,300,3700000
saidia, Saidia,Appartement,2,1,72,12000
Casa Marina, Casablanca,Appartement,1,1,65,2650000
Val Fleuri, Casablanca,Appartement,2,2,96,1294000
Casa Green Town, Bouskoura,Villa,3,3,700,13500000
Mers Sultan, Casablanca,Appartement,3,1,169,1700000
Dar Bouazza, Casablanca,Appartement,2,1,110,1800000
Maarif Extension, Casablanca,Appartement,2,2,103,1900000
Malabata, Tanger,Appartement,2,2,68,1156000
Beauséjour, Casablanca,Appartement,2,2,91,1225000
Bir Anzarane, Casablanca,Appartement,2,2,128,2300000
Malabata, Tanger,Appartement,3,2,112,2390000
Gauthier, Casablanca,Appartement,3,2,267,3300000
Route d'Ourika, Marrakech,Villa,4,2,230,4500000
Marrakech Golf City, Marrakech,Appartement,2,2,100,2200000
Bouskoura Golf City, Bouskoura,Villa,4,4,586,19000000
Tamesna, Temara,Villa,6,3,320,2050000
Oasis, Casablanca,Studio,1,0,32,1100000
Errahma, Casablanca,Appartement,2,2,85,748000
Azzouzia, Marrakech,Appartement,2,1,60,300000
Val Fleuri, Casablanca,Studio,1,0,40,920000
CIL, Casablanca,Villa,3,2,460,8500000
Centre Ville, Agadir,Appartement,3,1,101,23000
Palmeraie, Marrakech,Appartement,2,2,75,1200000
Fès, Fes,Terrain,0,0,2,13000000
Iberia, Tanger,Appartement,3,2,128,2560000
Saiss, Fes,Terrain,0,0,2,4303000
Gauthier, Casablanca,Appartement,1,1,36,1100000
Malabata, Tanger,Appartement,3,2,319,4950000
Skhirat plage, Skhirat,Villa,6,3,200,3200000
indéfini, Tanger,Maison,5,3,480,6800000
indéfini, Tanger,Appartement,1,1,65,650000
El Fouarat, Kenitra,Appartement,2,2,79,510000
CIL, Casablanca,Villa,6,5,682,8800000
Centre Ville, Temara,Appartement,3,2,88,700000
El Manar El Hank, Casablanca,Villa,4,3,625,11000000
saidia, Saidia,Appartement,3,3,95,12000
Quartier des Hôpitaux, Casablanca,Appartement,3,2,126,1500000
Gauthier, Casablanca,Appartement,3,2,219,3100000
Bouskoura Golf City, Bouskoura,Villa,4,4,1,12000000
Racine, Casablanca,Appartement,3,2,150,2550000
El Fouarat, Kenitra,Appartement,3,1,86,580000
Salé, Salé,Appartement,2,2,87,696000
Boulevard Mohammed VI, Marrakech,Villa,4,5,500,5400000
El Fouarat, Kenitra,Appartement,2,1,73,470000
Chantilly, Casablanca,Terrain,0,0,541,9200000
Chantilly, Casablanca,Villa,3,1,541,9200000
Hivernage, Marrakech,Terrain,0,0,1,18600000
Oasis, Casablanca,Appartement,3,2,125,1800000
Dar Bouazza, Casablanca,Terrain,0,0,701,3224600
Tit Mellil, Casablanca,Terrain,0,0,10,4000000
Agdal, Marrakech,Terrain,0,0,94,530000
Palmeraie, Marrakech,Terrain,0,0,10,12000000
El Fouarat, Kenitra,Appartement,2,1,72,410000
Ain Diab, Casablanca,Appartement,1,1,40,1520000
CIL, Casablanca,Villa,4,3,520,11500000
Dar Bouazza, Casablanca,Terrain,0,0,567,2835000
El Fouarat, Kenitra,Appartement,1,1,45,260000
Casabarata, Tanger,Terrain,0,0,471,2199570
Casabarata, Tanger,Terrain,0,0,196,2156000
Hay Riad, Rabat,Villa,4,5,290,4900000
Maarif, Casablanca,Immeuble,7+,1,1,16000000
Bouskoura Golf City, Bouskoura,Terrain,0,0,13,22500000
Centre ville, Tanger,Terrain,0,0,456,5016000
Mers El Kheir, Temara,Terrain,0,0,130,182000000
Centre Ville, Agadir,Appartement,3,1,96,23000
Bir Kacem, Rabat,Villa,6,6,2,40000000
CIL, Casablanca,Terrain,0,0,446,8500000
Maarif Extension, Casablanca,Appartement,2,2,80,1264000
Mers El Kheir, Temara,Terrain,0,0,13,45000000
Harhoura, Temara,Terrain,0,0,70,182000000
Souissi, Rabat,Terrain,0,0,2,11250000
Longchamps, Casablanca,Villa,4,2,580,10900000
Dar Bouazza, Casablanca,Terrain,0,0,800,12000
Route d'Ourika, Marrakech,Terrain,0,0,10,5800000
Mediouna, Mediouna,Terrain,0,0,215,1780000
Chrifia, Marrakech,Villa,6,6,955,5600000
Skhirat plage, Skhirat,Terrain,0,0,386,2050000
Nejma, Tanger,Appartement,2,1,80,1080000
Dar Bouazza, Casablanca,Villa,Studio,1,1,9000000
Bourgogne, Casablanca,Appartement,2,2,93,1850000
Boulevard Ghandi, Casablanca,Studio,1,0,76,1275000
Boulevard Ghandi, Casablanca,Studio,1,0,55,1270000
Oasis, Casablanca,Studio,1,0,55,1270000
Targa, Marrakech,Villa,5,4,320,3200000
Boulevard Ghandi, Casablanca,Studio,1,0,60,1380000
Quartier Agdal Haut, Rabat,Appartement,3,2,181,3500000
Tanja Balia, Tanger,Villa,5,4,500,6800000
Dar Bouazza, Casablanca,Villa,3,2,200,4500000
Dar Bouazza, Casablanca,Villa,5,4,650,7850000
Dar Bouazza, Casablanca,Villa,4,3,600,9750000
Casa Green Town, Bouskoura,Villa,5,5,1,17000000
