Marque;Modèle;Année-Modèle;Kilométrage;Type de carburant;Puissance fiscale;Boite de vitesses;Première main;État;Prix
Dacia;Logan;2012;130 000 - 139 999;Diesel;6;Manuelle;Non;Très bon;65000
Toyota;VERSO;2008;300 000 - 349 999;Diesel;8;Manuelle;Non;Excellent;72000
Citroen;C3;2014;190 000 - 199 999;Diesel;6;Manuelle;Oui;Bon;75000
Renault;Megane 4;2017;170 000 - 179 999;Diesel;6;Manuelle;Non;Très bon;140000
Hyundai;Elantra;2019;70 000 - 74 999;Diesel;6;Automatique;Non;Excellent;168000
Nissan;Qashqai;2015;120 000 - 129 999;Diesel;6;Manuelle;Oui;Excellent;155000
Volkswagen;GOLF 7;2015;170 000 - 179 999;Diesel;6;Manuelle;Oui;Excellent;148000
Skoda;Octavia;2013;170 000 - 179 999;Diesel;8;--;;;130000
Dacia;Sandero;2012;160 000 - 169 999;Diesel;6;Automatique;Non;Très bon;76000
Mercedes-Benz;220;2001;10 000 - 14 999;Diesel;11;Manuelle;Non;Très bon;90000
Renault;Kangoo;2016;160 000 - 169 999;Diesel;6;Manuelle;Oui;Très bon;113000
Volkswagen;GOLF 5;2008;200 000 - 249 999;Diesel;8;Manuelle;Non;Très bon;107000
Peugeot;206+;2010;95 000 - 99 999;Essence;6;Manuelle;Non;Excellent;62000
Peugeot;Tepee;2010;180 000 - 189 999;Diesel;6;Manuelle;Non;Excellent;98000
Mercedes-Benz;Classe C;2008;90 000 - 94 999;Diesel;8;Manuelle;Oui;Très bon;125000
Renault;Scenic;2005;190 000 - 199 999;Diesel;6;Manuelle;;Bon;65000
Dacia;Logan;2013;170 000 - 179 999;Diesel;7;Manuelle;Oui;Très bon;65000
Skoda;Octavia;2008;160 000 - 169 999;Diesel;8;Manuelle;Oui;Très bon;85000
Renault;Master;2019;25 000 - 29 999;Diesel;9;Manuelle;Oui;Très bon;195000
Audi;Q5;2015;100 000 - 109 999;Diesel;6;Automatique;Oui;Excellent;360000
Dacia;Duster;2016;200 000 - 249 999;Diesel;6;Manuelle;Non;Très bon;130000
Peugeot;208;2017;100 000 - 109 999;Essence;6;Manuelle;Oui;Bon;76000
Opel;Astra;2001;170 000 - 179 999;Essence;10;Automatique;Non;Excellent;65000
Volkswagen;Touareg;2009;20 000 - 24 999;Diesel;12;Automatique;Non;Très bon;88000
Peugeot;206;2009;15 000 - 19 999;Diesel;6;--;;;67000
Dacia;Logan;2018;5 000 - 9 999;Essence;7;Manuelle;Oui;Excellent;80000
Land Rover;Range Rover Evoque;2019;65 000 - 69 999;Diesel;8;Automatique;Oui;Excellent;435000
Dacia;Logan;2015;130 000 - 139 999;Diesel;6;Manuelle;Non;Excellent;84000
Mercedes-Benz;220;2013;110 000 - 119 999;Diesel;9;Automatique;;Excellent;255000
Toyota;RAV 4;2008;300 000 - 349 999;Diesel;9;--;;;88000
Renault;Megane 3;2009;130 000 - 139 999;Diesel;6;Manuelle;Non;Bon;85000
Hyundai;i 10;2016;110 000 - 119 999;Essence;6;Manuelle;Non;Bon;66000
Ford;Focus;2010;200 000 - 249 999;Diesel;7;Manuelle;Non;Excellent;93000
Opel;Astra;2021;15 000 - 19 999;Diesel;7;Manuelle;Oui;;190000
Peugeot;208;2015;110 000 - 119 999;Essence;7;Manuelle;Non;Bon;72000
Toyota;Hilux;1998;350 000 - 399 999;Diesel;10;Manuelle;Non;Très bon;68000
Renault;Captur;2013;60 000 - 64 999;Diesel;6;Manuelle;Oui;Excellent;120000
Hyundai;i 10;2015;5 000 - 9 999;Essence;6;Manuelle;Oui;Très bon;67000
Toyota;Corolla;2005;140 000 - 149 999;Essence;7;Manuelle;Non;Excellent;63000
Renault;Kangoo;2017;100 000 - 109 999;Diesel;6;Manuelle;Oui;Excellent;110000
Kia;Sorento;2019;80 000 - 84 999;Diesel;9;--;;;180000
BMW;Serie 5;2017;120 000 - 129 999;Diesel;12;Automatique;Non;Excellent;430000
Dacia;Dokker;2017;75 000 - 79 999;Diesel;6;--;;;131000
Dacia;Duster;2015;130 000 - 139 999;Diesel;6;Manuelle;Non;Très bon;123000
Ford;C-Max;2019;10 000 - 14 999;Diesel;6;Manuelle;Oui;Excellent;173000
Fiat;Doblo;2016;0 - 4 999;Diesel;5;Manuelle;Oui;Excellent;78000
Ford;Ka;2014;95 000 - 99 999;Diesel;5;Manuelle;;Très bon;87000
Peugeot;508;2015;130 000 - 139 999;Diesel;6;Manuelle;Non;Excellent;125000
Mercedes-Benz;Classe E;2010;200 000 - 249 999;Diesel;9;Manuelle;Non;Excellent;155000
Renault;Clio;2019;40 000 - 44 999;Diesel;6;Manuelle;Oui;Excellent;122000
Renault;Scenic;2011;350 000 - 399 999;Diesel;6;Manuelle;;Excellent;119000
Audi;A4;2004;25 000 - 29 999;Diesel;10;--;;;85000
Volkswagen;Touareg;2009;0 - 4 999;Diesel;8;Manuelle;Non;Excellent;90000
Ford;Fiesta;2018;75 000 - 79 999;Diesel;6;Manuelle;Non;Très bon;125000
Renault;Symbol;2013;120 000 - 129 999;Diesel;6;Manuelle;;Bon;60000
Toyota;Corolla;2017;45 000 - 49 999;Diesel;5;Manuelle;Non;Excellent;150000
Dacia;Sandero;2015;110 000 - 119 999;Diesel;6;--;;;68000
Fiat;500;2010;0 - 4 999;Essence;6;Automatique;;;78000
BMW;X1;2011;200 000 - 249 999;Diesel;8;Manuelle;Non;Très bon;130000
Mercedes-Benz;Classe A;2020;35 000 - 39 999;Diesel;9;Automatique;Oui;Excellent;500000
Dacia;Dokker;2019;110 000 - 119 999;Diesel;7;Manuelle;;Excellent;114000
BMW;Serie 5;2009;250 000 - 299 999;Diesel;8;Automatique;;Très bon;115000
Volkswagen;Jetta;2021;40 000 - 44 999;Diesel;8;Automatique;Oui;Excellent;235000
Fiat;500L;2016;60 000 - 64 999;Diesel;7;Automatique;Non;Excellent;133000
Peugeot;208;2018;85 000 - 89 999;Diesel;6;Manuelle;;Excellent;119000
Renault;Kangoo;2019;40 000 - 44 999;Diesel;6;--;;;158000
Renault;Clio;2015;180 000 - 189 999;Diesel;6;Manuelle;Oui;Excellent;103000
