Marque;Modèle;Année-Modèle;Kilométrage;Type de carburant;Puissance fiscale;Boite de vitesses;Première main;État;Prix
Renault;Kangoo;2009;65 000 - 69 999;Diesel;7;Automatique;Non;Excellent;70000
Nissan;Qashqai;2020;20 000 - 24 999;Diesel;6;Automatique;Oui;Excellent;220000
BMW;Serie 5;2008;160 000 - 169 999;Essence;11;Manuelle;Non;Excellent;90000
Hyundai;i 30;2021;5 000 - 9 999;Diesel;6;Manuelle;Oui;Excellent;241000
Toyota;VERSO;2011;130 000 - 139 999;Diesel;6;Manuelle;;;80000
Dacia;Dokker;2019;75 000 - 79 999;Diesel;6;Manuelle;Oui;Excellent;135000
Renault;Kangoo;2008;30 000 - 34 999;Diesel;6;Manuelle;Non;Très bon;68000
Land Rover;Range Rover Evoque;2012;150 000 - 159 999;Diesel;9;--;;;205000
Ford;C-Max;2012;130 000 - 139 999;Diesel;6;Manuelle;Oui;Excellent;135000
Volkswagen;Tiguan;2013;130 000 - 139 999;Diesel;8;Manuelle;Oui;Excellent;230000
Peugeot;Partner;2016;150 000 - 159 999;Diesel;6;Manuelle;Oui;Très bon;95000
Renault;Symbol;2013;300 000 - 349 999;Diesel;6;Manuelle;Non;Très bon;62000
Peugeot;308;2015;45 000 - 49 999;Diesel;6;--;;;135000
Dacia;Logan;2014;170 000 - 179 999;Diesel;6;Manuelle;Oui;;83000
Fiat;GRANDE PUNTO;2014;130 000 - 139 999;Diesel;5;Manuelle;Non;Excellent;74000
Fiat;FIORINO;2019;40 000 - 44 999;Diesel;5;Manuelle;Non;Excellent;105000
Dacia;Duster;2015;60 000 - 64 999;Diesel;6;Manuelle;Oui;Très bon;130000
Jeep;Grand Cherokee;2015;120 000 - 129 999;Diesel;12;--;;;185000
Renault;Master;2014;40 000 - 44 999;Diesel;9;Manuelle;Oui;Bon;150000
Hyundai;Accent;2010;140 000 - 149 999;Diesel;7;Manuelle;Non;Excellent;76000
Skoda;Octavia;2015;0 - 4 999;Diesel;8;Manuelle;Oui;Excellent;140000
Volkswagen;Passat;2007;190 000 - 199 999;Diesel;9;Manuelle;;Excellent;75000
Citroen;C4 Picasso;2008;200 000 - 249 999;Diesel;6;Manuelle;Non;Très bon;78000
Dacia;Sandero;2014;75 000 - 79 999;Diesel;6;Manuelle;Non;;95000
Ford;C-Max;2012;0 - 4 999;Diesel;6;Manuelle;Non;Très bon;125000
Dacia;Logan;2020;40 000 - 44 999;Diesel;6;Manuelle;Non;Excellent;110000
Hyundai;Tucson;2010;190 000 - 199 999;Diesel;8;Manuelle;Non;;70000
Renault;Espace;2000;190 000 - 199 999;Diesel;10;--;;;62000
Mercedes-Benz;190;1991;350 000 - 399 999;Diesel;8;Manuelle;Oui;Bon;63000
Peugeot;208;2017;85 000 - 89 999;Diesel;5;Manuelle;Non;Très bon;85000
Kia;Sorento;2007;110 000 - 119 999;Diesel;8;Automatique;;;73000
Renault;Megane;2006;200 000 - 249 999;Diesel;6;Manuelle;Non;Bon;65000
Volkswagen;Tiguan;2017;70 000 - 74 999;Diesel;8;Automatique;Oui;Excellent;320000
Toyota;Auris;2008;190 000 - 199 999;Diesel;6;Manuelle;Non;Excellent;70000
Ford;C-Max;2011;170 000 - 179 999;Essence;9;Manuelle;Non;Très bon;70000
Renault;Kangoo;2012;250 000 - 299 999;Diesel;6;--;;;72000
Hyundai;Santa Fe;2011;250 000 - 299 999;Diesel;9;Automatique;Non;Excellent;110000
Peugeot;Tepee;2015;190 000 - 199 999;Diesel;6;Manuelle;Non;Excellent;82000
Renault;Kangoo;2011;200 000 - 249 999;Diesel;7;Manuelle;Non;Très bon;77000
Dacia;Logan;2015;110 000 - 119 999;Diesel;6;Manuelle;;Excellent;73000
Renault;19;1990;35 000 - 39 999;Essence;8;Manuelle;Non;;2500000
Ford;Ranger;2016;20 000 - 24 999;Diesel;9;Manuelle;Oui;Très bon;155000
Peugeot;Partner;2006;300 000 - 349 999;Diesel;6;Manuelle;Non;Excellent;64000
Kia;Carens;2008;200 000 - 249 999;Diesel;8;Manuelle;Non;Bon;66000
Opel;Astra;2012;160 000 - 169 999;Diesel;7;Manuelle;;Excellent;110000
Opel;Insignia;2010;200 000 - 249 999;Diesel;8;Automatique;Non;Très bon;90000
Mercedes-Benz;Classe C;2010;200 000 - 249 999;Diesel;9;Automatique;Non;Très bon;132000
Renault;Kangoo;2008;0 - 4 999;Diesel;7;Manuelle;Non;Très bon;65000
Mercedes-Benz;220;1997;20 000 - 24 999;Diesel;9;Manuelle;Oui;Très bon;67000
Peugeot;206 CC;2005;90 000 - 94 999;Diesel;7;--;Non;Excellent;60000
Toyota;Hi Ace;2002;15 000 - 19 999;Diesel;10;Manuelle;;;89000
Volkswagen;GOLF 4;2000;300 000 - 349 999;Diesel;8;Manuelle;Non;Bon;60000
Toyota;Hilux;2008;300 000 - 349 999;Diesel;10;Manuelle;Non;Très bon;120500
Nissan;Micra;2018;80 000 - 84 999;Diesel;6;Manuelle;Non;Très bon;118000
Skoda;Fabia;2017;15 000 - 19 999;Essence;6;Manuelle;Oui;;95000
Ford;Focus;2017;110 000 - 119 999;Diesel;6;Manuelle;Oui;Excellent;155000
Mercedes-Benz;Sprinter;2013;70 000 - 74 999;Diesel;9;--;;;210000
Nissan;Qashqai;2016;160 000 - 169 999;Diesel;6;--;;;162000
Dacia;Dokker;2016;0 - 4 999;Diesel;6;Manuelle;Non;Très bon;115000
Citroen;Berlingo;2012;50 000 - 54 999;Diesel;6;Manuelle;;;97000
Volkswagen;TRANSPORTER;2008;40 000 - 44 999;Diesel;6;Manuelle;Oui;Bon;100000
BMW;Serie 4;2016;140 000 - 149 999;Diesel;8;Automatique;;Excellent;380000
Dacia;Logan;2017;80 000 - 84 999;Diesel;6;Manuelle;Non;Excellent;97000
Renault;Espace;2005;200 000 - 249 999;Diesel;9;Automatique;Non;Très bon;95000
Audi;Q5;2018;140 000 - 149 999;Diesel;8;--;;;350000
Fiat;Punto;2009;200 000 - 249 999;Essence;7;Manuelle;Non;Très bon;62000
Volkswagen;Tiguan;2021;45 000 - 49 999;Diesel;8;Automatique;Oui;Excellent;340000
Mercedes-Benz;Classe CLA;2019;65 000 - 69 999;Diesel;8;Automatique;Oui;Excellent;330000
Nissan;Qashqai;2016;85 000 - 89 999;Diesel;6;Manuelle;Non;Excellent;158000
Volkswagen;GOLF 4;1999;250 000 - 299 999;Diesel;8;Manuelle;;;70000
Nissan;Qashqai;2018;100 000 - 109 999;Diesel;6;--;;;215000
Ford;C-Max;2019;35 000 - 39 999;Diesel;6;Manuelle;Non;Excellent;172000
Hyundai;Santa Fe;2015;180 000 - 189 999;Diesel;9;Automatique;;Excellent;205000
Kia;Carens;2008;250 000 - 299 999;Diesel;8;Manuelle;;;75000
Hyundai;Santa Fe;2008;20 000 - 24 999;Diesel;8;Manuelle;Non;Très bon;76000
Citroen;Berlingo;2007;5 000 - 9 999;Diesel;7;Manuelle;Non;Excellent;60000
Hyundai;Tucson;2007;190 000 - 199 999;Diesel;8;Manuelle;Non;Très bon;76000
Mercedes-Benz;220;2007;200 000 - 249 999;Diesel;9;Automatique;Non;Très bon;125000
Jeep;Grand Cherokee;2014;250 000 - 299 999;Diesel;12;Automatique;Non;Très bon;155000
Renault;Clio;2018;75 000 - 79 999;Diesel;6;Manuelle;Oui;Très bon;120000
Toyota;Corolla;2006;250 000 - 299 999;Diesel;8;--;;;63000
Renault;Clio;2018;80 000 - 84 999;Diesel;6;Manuelle;;Excellent;110800
Dacia;Duster;2015;55 000 - 59 999;Diesel;6;Manuelle;;Excellent;125000
Opel;Astra;2007;30 000 - 34 999;Diesel;7;Manuelle;Non;Excellent;65000
Ford;Fiesta;2014;100 000 - 109 999;Diesel;6;Manuelle;Non;Excellent;105000
Volkswagen;Touareg;2015;180 000 - 189 999;Diesel;12;Automatique;Non;Excellent;190000
Seat;Leon;2007;150 000 - 159 999;Essence;9;Manuelle;Non;Très bon;65000
Volkswagen;GOLF 4;2001;0 - 4 999;Diesel;8;Manuelle;Non;;65000
Toyota;RAV 4;2016;140 000 - 149 999;Diesel;8;Manuelle;Non;Excellent;180000
Fiat;Doblo;2016;120 000 - 129 999;Diesel;6;Manuelle;Non;Excellent;90000
Ford;Fiesta;2017;65 000 - 69 999;Diesel;6;Manuelle;Oui;Très bon;93000
Renault;Megane Coupe;2019;100 000 - 109 999;Diesel;6;Automatique;;Excellent;165000
Renault;Megane;2019;70 000 - 74 999;Diesel;6;Automatique;Oui;Excellent;173000
Renault;Clio;2018;70 000 - 74 999;Diesel;6;Manuelle;;Excellent;118000
Hyundai;i 10;2013;150 000 - 159 999;Essence;6;Manuelle;;Excellent;65000
Dacia;Duster;2020;45 000 - 49 999;Diesel;7;--;;;195000
Peugeot;301;2019;15 000 - 19 999;Diesel;7;Manuelle;Oui;Très bon;108000
Dacia;Logan;2016;75 000 - 79 999;Diesel;6;Manuelle;Non;Excellent;87000
Hyundai;Accent;2011;100 000 - 109 999;Diesel;6;Manuelle;Non;Excellent;79000
Citroen;C5;2009;200 000 - 249 999;Diesel;8;Manuelle;;Très bon;75000
Volkswagen;PASSAT CC;2009;130 000 - 139 999;Diesel;8;Manuelle;Non;Très bon;155000
Volkswagen;Polo;2009;20 000 - 24 999;Diesel;6;Manuelle;Non;Bon;66000
Hyundai;i 10;2016;60 000 - 64 999;Essence;6;Manuelle;Non;Bon;75000
Ford;Fiesta;2005;190 000 - 199 999;Diesel;7;Manuelle;Non;Très bon;63000
Renault;Megane Coupe;2007;200 000 - 249 999;Diesel;6;Manuelle;Non;Excellent;67000
Renault;Kangoo;2003;15 000 - 19 999;Diesel;7;Manuelle;Non;Bon;64000
Mercedes-Benz;Classe CLS;2008;250 000 - 299 999;Diesel;11;Automatique;Non;Bon;120000
Ford;Focus;2016;10 000 - 14 999;Diesel;6;Manuelle;Non;;165000
Ford;C-Max;2012;190 000 - 199 999;Diesel;6;Manuelle;Non;Excellent;130000
Skoda;Octavia;2007;450 000 - 499 999;Diesel;8;Manuelle;Oui;Très bon;80000
Audi;A5;2008;200 000 - 249 999;Diesel;11;Automatique;Non;Très bon;130000
Volkswagen;Touareg;2007;200 000 - 249 999;Diesel;12;Automatique;Non;Très bon;84000
Dacia;Sandero;2018;0 - 4 999;Diesel;5;Manuelle;Non;;116000
Jeep;Cherokee;2018;100 000 - 109 999;Diesel;10;--;Oui;Excellent;300000
Audi;Q5;2013;200 000 - 249 999;Diesel;12;Automatique;Non;Excellent;230000
Dacia;Logan;2010;0 - 4 999;Diesel;6;Manuelle;Non;Très bon;60000
Dacia;Dokker;2017;110 000 - 119 999;Diesel;6;Manuelle;Non;Très bon;102000
Volkswagen;GOLF 5;2008;200 000 - 249 999;Essence;8;Manuelle;Non;Très bon;98000
Renault;19;1993;25 000 - 29 999;Diesel;7;Manuelle;Non;Correct;480000
Renault;Fluence;2014;180 000 - 189 999;Diesel;6;--;;;98000
Volkswagen;Tiguan;2017;120 000 - 129 999;Diesel;8;Automatique;Non;Excellent;280000
Volkswagen;GOLF 5;2008;200 000 - 249 999;Essence;8;Manuelle;;Très bon;98000
Dacia;Dokker;2018;110 000 - 119 999;Diesel;7;Manuelle;Oui;Excellent;140000
Peugeot;307;2008;190 000 - 199 999;Diesel;6;Manuelle;Non;;69000
Renault;Kangoo;2010;200 000 - 249 999;Diesel;6;Manuelle;Non;Bon;66000
Jeep;Grand Cherokee;2017;35 000 - 39 999;Diesel;12;Automatique;Oui;Excellent;270000
Dacia;Sandero;2017;55 000 - 59 999;Diesel;6;Manuelle;Oui;Excellent;105000
Renault;Megane Coupe;2017;90 000 - 94 999;Diesel;6;Manuelle;Non;Très bon;145000
Mercedes-Benz;190;1991;150 000 - 159 999;Diesel;10;Manuelle;Non;Bon;78000
Renault;Fluence;2011;120 000 - 129 999;Diesel;7;Manuelle;Non;Très bon;85000
Kia;Carens;2015;100 000 - 109 999;Diesel;6;Manuelle;Non;Excellent;125000
Dacia;Logan;2016;80 000 - 84 999;Diesel;6;Manuelle;Oui;Excellent;87000
Citroen;C4;2007;160 000 - 169 999;Diesel;6;Manuelle;Non;Très bon;65000
Audi;A4;2008;250 000 - 299 999;Diesel;8;Manuelle;;Très bon;116000
Mercedes-Benz;220;2001;350 000 - 399 999;Diesel;8;Automatique;Non;Très bon;67000
Hyundai;i 30;2010;120 000 - 129 999;Diesel;6;Manuelle;Oui;Très bon;100000
Skoda;RAPID;2015;150 000 - 159 999;Diesel;6;Manuelle;Non;Excellent;120000
Dacia;Logan;2010;190 000 - 199 999;Diesel;6;Manuelle;Non;Bon;60000
Mercedes-Benz;Classe C;2015;90 000 - 94 999;Diesel;9;Automatique;Non;Excellent;340000
Ford;Focus;2016;20 000 - 24 999;Diesel;8;Automatique;Oui;Excellent;400000
Chevrolet;Cruze;2011;140 000 - 149 999;Diesel;8;Manuelle;Oui;Très bon;85000
Renault;Clio;2009;180 000 - 189 999;Diesel;6;Manuelle;;;75000
Volkswagen;Polo;2006;200 000 - 249 999;Essence;7;Manuelle;;Très bon;60000
Mercedes-Benz;220;2002;300 000 - 349 999;Diesel;8;Manuelle;Non;Excellent;82000
Volkswagen;Jetta;2008;200 000 - 249 999;Diesel;8;Manuelle;Oui;Très bon;84000
Peugeot;407;2007;300 000 - 349 999;Diesel;8;Manuelle;;Très bon;70000
Ford;Fiesta;2021;20 000 - 24 999;Diesel;6;Manuelle;Oui;Très bon;160000
Opel;Astra;2013;120 000 - 129 999;Diesel;7;--;;;125000
Volkswagen;Polo;2008;110 000 - 119 999;Essence;8;Manuelle;Non;Très bon;73000
Peugeot;407;2005;25 000 - 29 999;Diesel;8;Manuelle;Non;Très bon;67000
Toyota;Prado;2005;250 000 - 299 999;Diesel;12;Automatique;Oui;Très bon;100000
Toyota;Prado;1997;300 000 - 349 999;Diesel;12;Manuelle;;Très bon;60000
Kia;Sorento;2008;20 000 - 24 999;Diesel;8;Automatique;Non;Bon;75000
Hyundai;Santa Fe;2005;5 000 - 9 999;Diesel;8;Manuelle;Oui;Excellent;100000
Volkswagen;Caddy;2007;180 000 - 189 999;Diesel;8;--;;;98000
Audi;A3;2008;200 000 - 249 999;Diesel;8;Automatique;Non;Excellent;108000
Dacia;Logan;2017;100 000 - 109 999;Diesel;6;Manuelle;Oui;Excellent;100000
Ford;Focus;2011;180 000 - 189 999;Diesel;6;Manuelle;Oui;Excellent;90000
Volkswagen;GOLF 5;2005;5 000 - 9 999;Diesel;8;Manuelle;Non;Très bon;80000
Ford;Kuga;2014;160 000 - 169 999;Diesel;8;Manuelle;Non;Très bon;153000
Dacia;Sandero;2017;80 000 - 84 999;Diesel;6;Manuelle;;Excellent;88000
Peugeot;308;2011;150 000 - 159 999;Diesel;6;Manuelle;Non;Très bon;90000
Peugeot;Partner;2017;110 000 - 119 999;Diesel;6;--;Oui;;98000
Ford;Fiesta;2016;150 000 - 159 999;Essence;7;Manuelle;Non;Excellent;93000
Toyota;Corolla;2008;20 000 - 24 999;Diesel;8;Manuelle;Non;Excellent;77000
Nissan;Qashqai;2016;60 000 - 64 999;Diesel;6;Manuelle;Oui;Excellent;185000
Nissan;Qashqai;2017;50 000 - 54 999;Diesel;6;Manuelle;Non;Excellent;187000
Ford;Fusion;2011;5 000 - 9 999;Diesel;6;Manuelle;Non;Excellent;77000
Volkswagen;GOLF 7;2014;180 000 - 189 999;Diesel;8;Manuelle;Non;Excellent;160000
Volkswagen;GOLF 4;2003;300 000 - 349 999;Diesel;8;Manuelle;Non;Excellent;84000
Dacia;Sandero;2017;30 000 - 34 999;Diesel;6;Manuelle;Non;Excellent;120000
BMW;Serie 3;2006;130 000 - 139 999;Diesel;8;Manuelle;Non;Bon;60000
Hyundai;i 10;2013;130 000 - 139 999;Essence;6;--;;Très bon;66000
Hyundai;H-1;2008;5 000 - 9 999;Diesel;10;--;Oui;Très bon;80000
Renault;Megane 3;2015;110 000 - 119 999;Diesel;6;Manuelle;;Excellent;120000
Peugeot;207;2010;190 000 - 199 999;Essence;8;Manuelle;Non;Très bon;60300
Hyundai;Santa Fe;2008;200 000 - 249 999;Diesel;8;Manuelle;Non;Excellent;100000
Citroen;C5;2009;200 000 - 249 999;Diesel;8;Automatique;Non;Bon;68000
Citroen;C5;2009;200 000 - 249 999;Diesel;8;Automatique;Non;Bon;68000
Ford;Focus;2012;190 000 - 199 999;Diesel;6;Manuelle;Oui;Excellent;110000
Nissan;Qashqai;2018;70 000 - 74 999;Diesel;6;Manuelle;Non;Très bon;180000
Renault;Kangoo;2007;250 000 - 299 999;Diesel;7;Manuelle;Non;Bon;77000
Renault;Megane 3;2010;140 000 - 149 999;Diesel;6;Manuelle;Non;Très bon;85000
Mercedes-Benz;220;2012;150 000 - 159 999;Diesel;9;--;;;190000
Dacia;Duster;2020;20 000 - 24 999;Diesel;8;Automatique;Non;;188000
Renault;Clio;2017;85 000 - 89 999;Diesel;6;Manuelle;Non;Très bon;123000
Nissan;Qashqai;2021;10 000 - 14 999;Diesel;6;Manuelle;;Excellent;235000
Nissan;Micra;2012;100 000 - 109 999;Essence;6;Manuelle;Non;Bon;60000
Seat;Leon;2018;55 000 - 59 999;Diesel;6;Manuelle;Oui;Excellent;160000
Nissan;Qashqai;2021;10 000 - 14 999;Diesel;6;--;;;235000
Nissan;Pathfinder;2006;35 000 - 39 999;Diesel;8;Manuelle;Non;Excellent;83000
BMW;X5;2017;90 000 - 94 999;Diesel;10;Automatique;Oui;Excellent;430000
Ford;Ka;2013;75 000 - 79 999;Essence;6;Manuelle;Non;Excellent;70000
Renault;Kangoo;2009;170 000 - 179 999;Diesel;7;Manuelle;Non;Bon;76000
Dacia;Dokker;2016;200 000 - 249 999;Diesel;6;Manuelle;Oui;Excellent;97000
Audi;A3;2018;100 000 - 109 999;Diesel;8;Automatique;Oui;Excellent;355000
Mercedes-Benz;220;2002;25 000 - 29 999;Diesel;9;Manuelle;Non;Excellent;85000
Opel;Corsa;2013;110 000 - 119 999;Diesel;5;Manuelle;Oui;Excellent;85000
Volkswagen;GOLF 4;2001;0 - 4 999;Diesel;8;Manuelle;;;80000
Volkswagen;Polo;2013;10 000 - 14 999;Essence;6;--;;;90000
Mercedes-Benz;Classe C;2016;90 000 - 94 999;Diesel;6;--;;;260000
Mercedes-Benz;220;1999;180 000 - 189 999;Diesel;9;Manuelle;;;84000
Ford;Focus;2016;130 000 - 139 999;Diesel;6;Manuelle;Non;Très bon;143000
Ford;Fiesta;2013;150 000 - 159 999;Diesel;6;Manuelle;Non;Très bon;100000
Audi;A5;2015;160 000 - 169 999;Diesel;8;--;;;240000
Volkswagen;GOLF 5;2006;200 000 - 249 999;Diesel;8;Manuelle;Non;Très bon;89000
Dacia;Sandero;2016;90 000 - 94 999;Diesel;6;Manuelle;Non;Excellent;90000
Volkswagen;PASSAT CC;2014;120 000 - 129 999;Diesel;8;Manuelle;Non;Excellent;165000
Mercedes-Benz;Classe C;2004;200 000 - 249 999;Diesel;8;Manuelle;;;68000
Volkswagen;GOLF 4;2000;200 000 - 249 999;Diesel;8;Manuelle;Non;Excellent;60000
Nissan;Qashqai;2016;190 000 - 199 999;Diesel;6;--;Oui;Excellent;165000
Volkswagen;GOLF 5;2005;200 000 - 249 999;Diesel;8;--;;;83000
Land Rover;Range Rover Sport;2014;100 000 - 109 999;Diesel;12;Automatique;Non;Excellent;410000
Volkswagen;GOLF 7;2013;10 000 - 14 999;Diesel;8;Automatique;Oui;Très bon;220000
Ford;C-Max;2014;170 000 - 179 999;Diesel;6;Manuelle;;Très bon;130000
Volkswagen;Bora;2005;200 000 - 249 999;Diesel;8;Manuelle;Non;Très bon;68000
Renault;Kangoo;2006;30 000 - 34 999;Diesel;6;Manuelle;Oui;Très bon;62000
Audi;A4;2004;80 000 - 84 999;Diesel;8;Manuelle;Non;Excellent;65000
Skoda;Octavia;2016;170 000 - 179 999;Diesel;8;Automatique;Non;Excellent;175000
Mercedes-Benz;220;2005;15 000 - 19 999;Diesel;9;Automatique;Non;Excellent;105000
Volkswagen;GOLF 7;2018;45 000 - 49 999;Diesel;8;Automatique;Oui;Très bon;180000
Land Rover;Freelander;2000;180 000 - 189 999;Diesel;8;Manuelle;Non;Excellent;73000
Dacia;Sandero;2018;130 000 - 139 999;Diesel;6;Manuelle;Non;Excellent;108000
Skoda;Octavia;2011;250 000 - 299 999;Diesel;8;Manuelle;Non;Excellent;110000
Hyundai;Santa Fe;2008;190 000 - 199 999;Diesel;10;--;;;76000
Volkswagen;GOLF 7;2016;140 000 - 149 999;Diesel;9;--;;;185000
Peugeot;301;2016;15 000 - 19 999;Diesel;6;Manuelle;Oui;Très bon;73000
Citroen;Berlingo;2010;20 000 - 24 999;Diesel;6;Manuelle;Non;;102000
Mercedes-Benz;Classe C;2000;200 000 - 249 999;Diesel;9;Automatique;Non;Excellent;87000
Hyundai;CRETA;2017;85 000 - 89 999;Diesel;6;Manuelle;Oui;Excellent;178000
Toyota;Land Cruiser;1998;250 000 - 299 999;Diesel;11;--;;;135000
Dacia;Dokker;2014;100 000 - 109 999;Diesel;6;Manuelle;;Excellent;97000
Renault;Laguna;2008;200 000 - 249 999;Diesel;8;Manuelle;Non;Excellent;70000
Ford;Kuga;2012;130 000 - 139 999;Diesel;8;Manuelle;Non;Très bon;125000
Toyota;Corolla;2007;190 000 - 199 999;Diesel;8;Manuelle;Non;Excellent;62000
Volkswagen;Passat;2001;300 000 - 349 999;Diesel;8;Manuelle;Non;Bon;65000
Volkswagen;Caddy;2018;120 000 - 129 999;Diesel;8;Manuelle;Non;Très bon;200000
Toyota;VERSO;2011;180 000 - 189 999;Diesel;8;Manuelle;;Très bon;92000
Renault;Trafic;2018;150 000 - 159 999;Diesel;6;Manuelle;Oui;Excellent;170000
Mercedes-Benz;190;1992;190 000 - 199 999;Diesel;8;Automatique;Oui;Très bon;65000
Volkswagen;Passat;2008;300 000 - 349 999;Diesel;8;Automatique;Oui;Bon;100500
Mercedes-Benz;300;2008;180 000 - 189 999;Diesel;12;Manuelle;Non;Excellent;125000
Audi;Q7;2012;250 000 - 299 999;Diesel;12;Automatique;Oui;Très bon;200000
Dacia;Duster;2015;55 000 - 59 999;Diesel;6;Manuelle;Oui;Excellent;125000
Renault;Megane;2005;200 000 - 249 999;Diesel;6;--;;;63000
Audi;A4;2009;250 000 - 299 999;Diesel;8;Automatique;Non;Très bon;150000
Dacia;Dokker;2015;160 000 - 169 999;Diesel;6;Manuelle;;Bon;98000
Skoda;Octavia;2010;200 000 - 249 999;Diesel;8;Manuelle;Non;Très bon;107000
Ford;Fiesta;2013;95 000 - 99 999;Essence;7;Manuelle;Non;Très bon;86000
Ford;Fiesta;2017;110 000 - 119 999;Diesel;6;Manuelle;;;92000
Citroen;Berlingo;2018;80 000 - 84 999;Diesel;7;Manuelle;Non;;128000
Renault;Kangoo;2011;200 000 - 249 999;Diesel;7;--;;;80000
Renault;Fluence;2010;250 000 - 299 999;Diesel;6;Manuelle;Non;Bon;87000
Nissan;NOTE;2007;150 000 - 159 999;Diesel;6;Manuelle;Oui;Excellent;85000
Ford;Fiesta;2018;70 000 - 74 999;Diesel;6;Manuelle;Oui;Très bon;110000
Ford;Kuga;2016;110 000 - 119 999;Diesel;8;Manuelle;Oui;Excellent;163000
Mercedes-Benz;Sprinter;2009;0 - 4 999;Diesel;9;Manuelle;Non;Très bon;180000
Opel;Astra;2013;120 000 - 129 999;Diesel;7;Manuelle;Non;Excellent;115000
Renault;Megane 3;2009;130 000 - 139 999;Diesel;7;Manuelle;Non;Très bon;88000
Dacia;Logan;2020;40 000 - 44 999;Diesel;7;Manuelle;Oui;Excellent;120000
Peugeot;206+;2010;110 000 - 119 999;Essence;6;Manuelle;Non;Bon;60000
Peugeot;407;2007;190 000 - 199 999;Diesel;8;--;;;62000
Dacia;Sandero;2013;85 000 - 89 999;Diesel;6;--;;;85000
Citroen;C4 Picasso;2014;110 000 - 119 999;Diesel;6;--;;;135000
Ford;Mondeo;2012;170 000 - 179 999;Diesel;8;--;;;110000
BMW;Serie 3;2005;160 000 - 169 999;Essence;11;Manuelle;Non;Très bon;73000
Jeep;Grand Cherokee;2016;95 000 - 99 999;Diesel;12;Automatique;;Excellent;235000
Hyundai;ix 35;2013;170 000 - 179 999;Diesel;7;Manuelle;Non;Très bon;134000
Mercedes-Benz;CLASSE GLK;2012;200 000 - 249 999;Diesel;9;Automatique;Non;Excellent;195000
Audi;A3;2016;130 000 - 139 999;Diesel;6;--;;;193000
Peugeot;206+;2014;5 000 - 9 999;Diesel;6;Manuelle;Non;Très bon;80000
Volkswagen;GOLF 7;2014;180 000 - 189 999;Diesel;8;Automatique;Non;Excellent;155000
Mercedes-Benz;220;1998;400 000 - 449 999;Diesel;9;Manuelle;Non;Bon;70000
Toyota;RAV 4;2013;10 000 - 14 999;Diesel;9;Manuelle;Oui;Très bon;95000
Peugeot;1007;2013;190 000 - 199 999;Diesel;6;Manuelle;Non;Très bon;65000
Toyota;Yaris;2018;80 000 - 84 999;Essence;8;Manuelle;;;95000
Mercedes-Benz;220;2008;55 000 - 59 999;Diesel;8;--;;;120000
Citroen;C4;2008;200 000 - 249 999;Diesel;6;Manuelle;Oui;Bon;75000
Volkswagen;Touran;2006;250 000 - 299 999;Diesel;8;Manuelle;Non;Très bon;100000
Peugeot;Tepee;2019;170 000 - 179 999;Diesel;6;Manuelle;Non;Très bon;140000
Volkswagen;Tiguan;2021;15 000 - 19 999;Diesel;8;--;;;620000
Renault;Scenic;2006;150 000 - 159 999;Diesel;6;Manuelle;;;65000
Ford;Focus;2010;200 000 - 249 999;Diesel;6;Manuelle;Non;Très bon;97000
BMW;X5;2004;200 000 - 249 999;Diesel;11;--;;;500000
Mercedes-Benz;250;2003;300 000 - 349 999;Diesel;10;--;;;60000
Dacia;Logan;2016;110 000 - 119 999;Diesel;6;Automatique;Non;Excellent;73000
Renault;Symbol;2011;90 000 - 94 999;Essence;7;Manuelle;Non;Très bon;64000
Hyundai;Tucson;2020;50 000 - 54 999;Diesel;6;Automatique;Oui;Excellent;245000
Volkswagen;Passat;2021;15 000 - 19 999;Diesel;8;--;;;270000
Dacia;Duster;2014;120 000 - 129 999;Diesel;6;Manuelle;Non;Excellent;115000
Volkswagen;Passat;2015;120 000 - 129 999;Diesel;8;Manuelle;;;158000
Kia;Ceed;2010;130 000 - 139 999;Diesel;6;Manuelle;Non;Excellent;120000
Dacia;Duster;2014;85 000 - 89 999;Diesel;7;--;;;125000
Fiat;500L;2016;95 000 - 99 999;Diesel;6;Automatique;Non;Très bon;125000
Ford;Fiesta;2016;35 000 - 39 999;Essence;7;Manuelle;Oui;Très bon;95000
Renault;Kangoo;2012;200 000 - 249 999;Diesel;6;--;;;85000
Renault;Kangoo;2018;120 000 - 129 999;Diesel;6;Manuelle;Non;Très bon;117000
Citroen;Berlingo;2015;90 000 - 94 999;Diesel;6;Manuelle;;;135000
Hyundai;Accent;2017;130 000 - 139 999;Diesel;6;Automatique;Non;Très bon;113000
Renault;Clio;2016;180 000 - 189 999;Diesel;6;Manuelle;Oui;Très bon;115000
Renault;Clio;2019;150 000 - 159 999;Diesel;6;Manuelle;Oui;Excellent;110000
BMW;Serie 4 coupé;2017;100 000 - 109 999;Diesel;6;Automatique;Non;Très bon;280000
Peugeot;208;2018;100 000 - 109 999;Diesel;6;Manuelle;Oui;Très bon;122000
BMW;Serie 3;2008;180 000 - 189 999;Essence;11;Manuelle;Oui;Bon;87000
Mercedes-Benz;220;2007;15 000 - 19 999;Diesel;9;--;;;140000
Renault;Master;2014;110 000 - 119 999;Diesel;9;Manuelle;Oui;Très bon;300000
Dacia;Sandero;2011;200 000 - 249 999;Diesel;6;Manuelle;Non;Très bon;67000
Mercedes-Benz;220;2013;200 000 - 249 999;Diesel;8;--;;;165000
